"Sample","Location","Site","Year","AB","SpeciesRichness","FamilyRichness","TotalAbundance","demersal","reef-associated","NA.x","benthopelagic","pelagic-neritic","pelagic-oceanic","Carnivore","Omnivore","Planktivore","NA.y","Herbivore","Chondrichthyes","Invertebrate","Teleost"
"WINC03_2010","Windara Reef","North control",2020,"Pre-AB",11,9,39,6,0,2,2,1,0,6,2,1,2,0,0,2,9
"WINC04_1704","Windara Reef","North control",2017,"Pre-AB",9,6,39,5,2,1,0,1,0,4,4,0,1,0,1,1,7
"WINC04_1711","Windara Reef","North control",2017,"Pre-AB",11,9,24,6,2,1,0,2,0,7,3,0,1,0,2,1,8
"WINC04_1804","Windara Reef","North control",2018,"Pre-AB",9,7,27,4,1,3,0,1,0,4,2,0,3,0,0,3,6
"WINC04_1811","Windara Reef","North control",2018,"Pre-AB",11,9,23,6,1,2,1,1,0,6,2,0,2,1,2,2,7
"WINC04_1910","Windara Reef","North control",2019,"Pre-AB",7,5,24,4,0,3,0,0,0,3,1,0,3,0,1,3,3
"WINC04_2010","Windara Reef","North control",2020,"Pre-AB",7,4,10,4,1,2,0,0,0,2,3,0,2,0,1,2,4
"WISC05_1704","Windara Reef","South control",2017,"Pre-AB",6,6,26,3,2,1,0,0,0,4,1,0,1,0,0,1,5
"WISC05_1711","Windara Reef","South control",2017,"Pre-AB",16,13,55,8,2,3,1,1,1,10,1,1,3,1,2,3,11
"WISC05_1804","Windara Reef","South control",2018,"Pre-AB",6,6,31,3,1,1,0,1,0,4,1,0,1,0,0,1,5
"WISC05_1811","Windara Reef","South control",2018,"Pre-AB",6,5,18,3,1,1,0,1,0,3,2,0,1,0,1,1,4
"WISC05_1910","Windara Reef","South control",2019,"Pre-AB",10,9,23,6,2,2,0,0,0,6,2,0,2,0,1,2,7
"WISC05_2010","Windara Reef","South control",2020,"Pre-AB",9,6,43,5,2,2,0,0,0,3,4,0,2,0,1,2,6
"WISC06_1704","Windara Reef","South control",2017,"Pre-AB",5,5,14,3,1,1,0,0,0,3,0,0,1,1,0,1,4
"WISC06_1711","Windara Reef","South control",2017,"Pre-AB",10,8,48,4,1,2,1,1,1,7,1,0,2,0,2,2,6
"WISC06_1804","Windara Reef","South control",2018,"Pre-AB",8,8,23,4,1,1,1,1,0,6,1,0,1,0,1,1,6
"WISC06_1811","Windara Reef","South control",2018,"Pre-AB",9,8,40,5,1,1,1,1,0,5,2,0,1,1,1,1,7
"WISC06_1910","Windara Reef","South control",2019,"Pre-AB",7,6,30,4,0,2,0,1,0,4,1,0,2,0,1,2,4
"WISC06_2010","Windara Reef","South control",2020,"Pre-AB",11,8,42,8,1,1,0,1,0,6,3,0,1,1,1,1,9
"WISC07_1704","Windara Reef","South control",2017,"Pre-AB",12,9,17,8,3,1,0,0,0,7,3,1,1,0,2,1,9
"WISC07_1711","Windara Reef","South control",2017,"Pre-AB",8,8,32,4,1,1,1,1,0,5,1,1,1,0,1,1,6
"WISC07_1804","Windara Reef","South control",2018,"Pre-AB",10,8,57,6,1,1,1,0,1,7,2,0,1,0,2,1,7
"WISC07_1811","Windara Reef","South control",2018,"Pre-AB",9,7,34,6,2,1,0,0,0,5,3,0,1,0,2,1,6
"WISC07_1910","Windara Reef","South control",2019,"Pre-AB",8,7,14,5,0,3,0,0,0,5,1,0,2,0,2,2,4
"WISC07_2010","Windara Reef","South control",2020,"Pre-AB",9,6,27,6,1,1,0,1,0,5,3,0,1,0,1,1,7
"WISC08_1704","Windara Reef","South control",2017,"Pre-AB",9,9,26,5,3,1,0,0,0,7,1,0,1,0,3,1,5
"WISC08_1711","Windara Reef","South control",2017,"Pre-AB",9,8,21,4,2,1,1,1,0,7,1,0,1,0,3,1,5
"WISC08_1804","Windara Reef","South control",2018,"Pre-AB",7,6,15,4,1,2,0,0,0,3,1,1,2,0,0,2,5
"WISC08_1811","Windara Reef","South control",2018,"Pre-AB",9,7,56,5,1,1,1,1,0,5,3,0,1,0,2,1,6
"WISC08_1910","Windara Reef","South control",2019,"Pre-AB",11,11,24,6,2,2,0,1,0,8,1,0,2,0,3,2,6
"WISC08_2010","Windara Reef","South control",2020,"Pre-AB",11,9,195,7,0,2,1,1,0,7,2,0,2,0,1,2,8
